,,a,u,c,n,h,o,s,l,q,r,k,e,z,v,t,x,d,f,w,y,i,b,j,g,m,p
u,n,3.2,0.2,4.2,16.2,2.2,6.2,4.2,1.2,0.2,2.2,3.2,9.2,0.2,2.2,25.2,0.2,20.2,5.2,0.2,7.2,11.2,0.2,0.2,6.2,0.2,0.2
u,h,6.2,2.2,0.2,0.2,1.2,2.2,1.2,4.2,0.2,0.2,0.2,4.2,0.2,0.2,6.2,0.2,0.2,0.2,2.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
u,o,0.2,2.2,0.2,2.2,1.2,0.2,0.2,0.2,0.2,2.2,1.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,1.2,0.2,0.2,0.2,0.2,1.2,0.2
u,s,15.2,2.2,1.2,1.2,9.2,18.2,7.2,6.2,0.2,1.2,1.2,32.2,0.2,0.2,252.2,1.2,1.2,2.2,2.2,0.2,17.2,1.2,0.2,3.2,5.2,1.2
u,l,5.2,1.2,1.2,1.2,0.2,6.2,3.2,11.2,0.2,1.2,0.2,9.2,2.2,1.2,10.2,1.2,28.2,1.2,4.2,2.2,13.2,1.2,0.2,0.2,0.2,1.2
u,q,0.2,1.2,0.2,0.2,0.2,0.2,1.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,1.2,1.2,0.2,1.2,0.2,1.2,0.2,0.2,1.2,0.2,0.2
u,r,14.2,1.2,5.2,7.2,7.2,9.2,14.2,5.2,0.2,7.2,3.2,33.2,0.2,1.2,17.2,0.2,3.2,6.2,0.2,1.2,11.2,5.2,0.2,6.2,3.2,4.2
u,k,2.2,0.2,0.2,8.2,1.2,0.2,1.2,0.2,0.2,4.2,1.2,1.2,0.2,0.2,0.2,0.2,0.2,0.2,1.2,0.2,3.2,1.2,0.2,0.2,0.2,1.2
u,e,1.2,0.2,7.2,5.2,1.2,2.2,14.2,23.2,0.2,4.2,1.2,6.2,0.2,0.2,5.2,1.2,1.2,1.2,1.2,0.2,3.2,0.2,1.2,1.2,1.2,2.2
u,z,1.2,1.2,0.2,0.2,1.2,3.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,1.2,0.2,0.2,1.2,1.2,0.2
u,v,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,1.2,0.2,0.2,0.2,1.2,0.2,0.2,1.2,0.2,0.2,0.2,1.2,0.2,0.2,0.2
u,t,10.2,5.2,4.2,6.2,13.2,14.2,3.2,2.2,0.2,10.2,0.2,14.2,2.2,2.2,13.2,0.2,1.2,7.2,5.2,5.2,36.2,2.2,0.2,0.2,7.2,1.2
u,x,0.2,0.2,0.2,1.2,0.2,0.2,0.2,0.2,1.2,0.2,0.2,2.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
u,d,2.2,0.2,0.2,0.2,2.2,9.2,2.2,1.2,0.2,3.2,0.2,4.2,0.2,0.2,0.2,0.2,3.2,0.2,0.2,3.2,2.2,0.2,0.2,0.2,0.2,0.2
u,f,0.2,2.2,1.2,0.2,0.2,11.2,1.2,0.2,0.2,1.2,0.2,5.2,1.2,0.2,0.2,0.2,0.2,4.2,1.2,0.2,1.2,0.2,0.2,1.2,0.2,1.2
u,w,6.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,4.2,0.2,0.2,0.2,0.2,0.2,1.2,0.2,0.2,2.2,0.2,0.2,0.2,0.2,0.2
u,y,0.2,0.2,0.2,1.2,1.2,1.2,7.2,0.2,0.2,0.2,0.2,2.2,0.2,0.2,1.2,0.2,0.2,1.2,0.2,0.2,0.2,1.2,0.2,0.2,1.2,1.2
u,i,1.2,0.2,1.2,0.2,1.2,0.2,5.2,1.2,0.2,1.2,1.2,0.2,0.2,0.2,8.2,1.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,2.2,0.2,0.2
u,b,10.2,0.2,2.2,1.2,0.2,1.2,1.2,5.2,0.2,2.2,0.2,8.2,0.2,1.2,0.2,0.2,0.2,0.2,0.2,1.2,3.2,1.2,1.2,0.2,0.2,0.2
u,j,1.2,9.2,0.2,0.2,1.2,1.2,0.2,1.2,0.2,0.2,0.2,3.2,0.2,0.2,0.2,0.2,1.2,0.2,1.2,0.2,0.2,0.2,0.2,1.2,0.2,0.2
